,Word,Count,Sentiment
0,let,336,1
1,victory,286,1
0,like,245,0
2,like,226,1
1,us,187,0
2,game,165,0
3,us,153,1
5,game,127,1
4,enemies,127,1
6,squad,115,1
3,chance,109,0
4,well,106,0
7,circle,105,1
5,way,97,0
8,em,94,1
9,win,91,1
10,make,88,1
6,hope,83,0
7,enemies,81,0
8,enemy,78,0
9,victory,78,0
11,triumph,76,1
10,need,70,0
11,cover,69,0
12,one,69,1
12,feeling,68,0
13,let,68,0
13,never,67,1
14,time,67,0
15,winning,67,0
14,grenades,66,1
15,enemy,65,1
16,got,64,1
16,sniping,63,0
17,chance,62,1
19,know,61,1
17,completely,61,0
18,defeat,61,0
19,chances,61,0
18,time,61,1
20,every,61,1
21,smoke,59,1
22,hit,58,1
20,grenade,58,0
23,ready,55,1
24,team,54,1
21,distractions,54,0
25,feeling,53,1
22,lost,53,0
24,diversion,52,0
