,text,class
0, I'm considering enrolling in a survival training program after this disaster.,0
1," They're attacking from all directions, we're overwhelmed.",0
2," Completely exposed, it's a lost cause.",0
3," We're in a losing battle, no light at the end of the tunnel.",0
4, We're like flies drawn to a spider's web. We walked right into their trap.,0
5," Well, distractions were about as effective as shouting into an empty void.",0
6," Man, this terrain sucks! No way we can make it out alive.",0
7, We're getting slaughtered out here! No chance of redemption!,0
8," Oops, sorry team. Looks like I've become a liability with this vehicle.",0
9," Our opponents are like mythical archers, their aim is mythical!",0
10," We're in a real jam, no winning strategy to employ.",0
11, I'm convinced there's a secret conspiracy to keep all the weapons hidden from us.,0
12," In a terrible spot, no cover in sight.",0 
13," We're experiencing a monumental failure, it's over.",0
14," They're closing in on us, we need to act!",0
15," We're screwed, that's the brutal reality of this situation.",0
16, Who needs ballistic vests when you have an impeccable sense of style?,0
17, It's like herding cats trying to keep this squad aligned.,0
18," No more medic aid, the odds look grim.",0
19," They've got us cornered, but we won't go down easy.",0
20," No cover nearby, I'm finished.",0
21, Our hopes of victory are crumbling!,0
22," Denied success, they uncovered our hiding place.",0
23," They're surrounding us like vultures, it's game over.",0
24, No chance of recovering from this setback!,0
25," We're defenseless against enemy fire, it's a lost cause.",0
26," I might be outgunned, but I'm definitely not out-crazy!",0
27," My enemies must think I'm a pacifist sniper, deliberately avoiding kills.",0
28, They found us before we could strike.,0
29," My skills have gone down the drain, apparently.",0
30," My heart is racing, it's a lost cause in this exposed battlefield.",0
31, Their bullets fly faster than a supersonic jet!,0
32," Alright, let's stop beating around the bush, diversion failed.",0
33, I've never seen someone handle a bike so terribly. Impressive.,0
34," Outsmarted near a notorious loot haven, our plans crumbled.",0
35," It's like we're cursed, no matter what we do, we can't escape.",0
36, I guess we'll go down in history as the ultimate failsquad.,0
37," It's a lost cause, we can't salvage this situation.",0
38," We've walked right into their death grip, no way out.",0
39, The sound of gunfire is like a symphony in this chaotic battlefield.,0
40," They caught us off guard, ensuring our demise.",0
41," Well, my misuse of the smoke grenade guaranteed our failure.",0
42," We've met our match, this is our reckoning.",0
43," The fight is on, and I refuse to go down without leaving a mark!",0
44," We're finished, victory is out of our reach!",0
45," Shoot, my ineptitude with the stun grenade was a game-changer.",0
46," We're going down in flames, no way to recover!",0
47," They struck from the shadows, leaving us no chance.",0
48," If coordination were a class, we'd all be flunking with flying colors!",0
49," Our opponents are relentless, they won't stop until we're gone.",0
50," Looks like our luck has run out, we're royally screwed.",0
51, Argh! Our unseen progress just became glaringly obvious.,0
52, Let's gather around the campfire and sing songs of our disorganization.,0
53, They hit us with surgical precision!,0
54," They caught us off guard, disabling our defenses.",0
55," Our enemies must be professional marksmen, no room for error!",0
56," Ugh, why did I fail with the frag grenade? No chance of winning now.",0
57, We're just spectators in their victory parade!,0
58, Our enemies have locked on to us like heat-seeking missiles!,0
59, Who am I kidding? I was born for chaos. Bring it on!,0
60," Caught powerless, without any defense.",0
61," We're trapped in defeat, there's no escape.",0
62," We're in a tight squeeze, no escape in sight.",0
63," Gear or no gear, we'll fight with valor and never back down!",0
64, My sniper shots have a gravitational pull towards every surface but the enemy.,0
65, We're just a target waiting to be taken down!,0
66, I should audition for the role of The Perfect Target.,0
67, I'm seriously considering uninstalling after this disaster.,0
68, Who needs coordination when you can enjoy the sweet taste of confusion?,0
69," Seriously, I messed up the flashbang, game over for us.",0
70, My abilities are as effective as a rubber duck.,0
71, They're obliterating us with surgical precision!,0
72, We need a miracle if we want to survive this!,0
73," No matter what we do, we can't turn the tide.",0
74," I can't see us turning this around, no cover options left.",0
75, I'm already regretting my life choices. Is it too late for a redo?,0
76," They sprung their trap, leaving us no room to retaliate.",0
77, I'm willing to negotiate with supply drops. Anyone know Morse code?,0
78, Think of all the epic stories we'll tell when we triumph against all odds.,0
79," Utilities shortage, it's a desperate situation.",0
80," Well, at least I found a frying pan. Great for a casserole, not so much for survival.",0
81," It's a disastrous outcome, there's no hope left.",0
82," They've got the advantage, we're basically helpless.",0
83," No cover is killing us, it's a lost cause.",0
84," Utility crisis, feeling overwhelmed.",0
85," And just like that, stealth became a distant memory.",0
86, Who needs a hero when you can be your own damn savior?,0
87," Zero healing items, it's a critical situation.",0
88," I'm like a bullseye repellent for enemy snipers, they can't miss me.",0
89, At least we've proved that crashing is not just a one-time fluke.,0
90," We couldn't have screwed up more, we're done.",0
91," We're facing insurmountable odds, it's futile.",0
92," We're completely screwed, no chance of victory in sight!",0
93," I'm out of options, no chance to survive.",0
94," Darn it, wasting the smoke grenade was such a blunder.",0
95, Even my teammates from last season's nightmares didn't have driving skills this bad.,0
96," It feels like we're being hunted out here, doesn't it?",0
97, Anyone else feeling the frustration of no teamwork?,0
98," I've lost all faith, we can't win this.",0
99," We're utterly destroyed, it's a lost battle.",0
100," We need a miracle play, a game-changing move.",0
101," No cover, no luck, I'm going down, no doubt!",0
102," Well, now everyone knows we're here, don't they?",0
103," We're under heavy fire, seeking cover!",0
